Latitude,Longitude,Incident Location,Total Severity Score,Crime Count
44.96200565,-93.25187583500627,2001 Bloomington Ave,13,3
44.96673255,-93.23724836991144,2450 Riverside Ave,90,13
44.96673255,-93.23724836991144,2459 Riverside Ave,8,1
44.967066,-93.23574117628894,2512 7th St S,3,1
44.967454,-93.23693623731435,2414 7th St S,16,2
44.9678384228188,-93.2391634362416,2312 6th St S,69,9
44.9688833,-93.2391051259027,525 23rd Ave S,24,3
44.9696005,-93.2433207,400 21st Ave S,11,2
44.9696869,-93.2395713,1625 4th St S,3,1
44.9696869,-93.2395713,1925 4th St S,16,4
44.9697539,-93.24098805902152,412 22nd Ave S,59,17
44.9697539,-93.24098805902152,Middlebrook Hall,4,1
44.9700725,-93.2457692,Riverside Ave / 19th Ave S,10,1
44.97015785000001,-93.2289942,620 Fulton St SE,10,2
44.97033443434344,-93.22832241414142,701 Fulton St SE,19,5
44.97034008080808,-93.2292327979798,615 Fulton St SE,67,11
44.970463,-93.24477162344893,321 19th Ave S,24,6
44.970463,-93.24477162344893,321 S 19th Ave,3,1
44.970463,-93.24477162344893,Carlson School of Management,4,1
44.9704762,-93.24606663686164,300 19th Ave S,10,2
44.97056115,-93.24697539550056,309 Cedar Ave S,8,1
44.9708077,-93.24751499870982,320 Cedar Ave S,8,1
44.97081935,-93.24358658521716,309 19th Ave S,14,4
44.9708286,-93.224810155749,909 Fulton St SE,35,5
44.97087415,-93.22941907591556,Pioneer Hall,15,1
44.97101265,-93.23144466768856,500 Harvard St SE,93,13
44.971196,-93.2159384,1000 University Ave SE,5,1
44.971196,-93.2159384,1122 University Ave SE,53,10
44.971196,-93.2159384,1625 University Ave SE,15,1
44.97139345,-93.24474914360268,301 19th Ave S,3,1
44.97148375,-93.24292132819578,267 19th Ave S,6,2
44.9715929,-93.2158114,2829 University Ave SE,5,1
44.9716947,-93.2438305,271 19th Ave S,5,1
44.9718523,-93.24334456534812,269 19th Ave S,26,5
44.97189355,-93.236191992504,220 Delaware St SE,20,6
44.97189355,-93.236191992504,Yudof Hall,4,1
44.971973000000006,-93.22924919891304,614 Delaware St SE,35,6
44.971973000000006,-93.22924919891304,Centennial Hall,21,2
44.9719889,-93.23289533099673,420 Delaware St SE,13,3
44.971999,-93.22793933831647,417 Walnut St SE,14,4
44.971999,-93.22793933831647,Territorial Hall,30,2
44.9722231,-93.2365279,210 Delaware St SE,32,6
44.97223655,-93.22636887469103,401 Oak St SE,5,1
44.9723056,-93.2342387,111 Church St SE,10,2
44.9723056,-93.2342387,116 Church St,3,1
44.9723056,-93.2342387,116 Church St SE,36,8
44.9723056,-93.2342387,200 Church St SE,5,1
44.9723056,-93.2342387,206 Church St SE,6,2
44.9723056,-93.2342387,207 Church St SE,8,2
44.9723056,-93.2342387,312 Church St SE,11,3
44.9723056,-93.2342387,321 Church St SE,3,1
44.97232665,-93.23146286235956,516 Delaware St SE,8,2
44.97235815384615,-93.247347,275 Cedar Ave S,14,2
44.97237165,-93.23708764779406,Comstock Hall,12,2
44.97250347793163,-93.23126695183498,526 Delaware St SE,10,2
44.97260116326531,-93.21826755102042,326 27th Ave SE,3,1
44.9727733,-93.2280874,717 Delaware St SE,5,1
44.9727877,-93.23065726633986,324 Harvard St SE,3,1
44.97281345,-93.23533743486294,Coffman Memorial Union,6,1
44.97290475,-93.2314205586416,515 Delaware St SE,31,9
44.9729415,-93.2436143,225 19th Ave S,14,3
44.9730269,-93.217995,27th Ave SE & University Ave SE,11,1
44.9730817,-93.24427087039015,229 19th Ave S,29,5
44.9732929,-93.243081,222 21st Ave S,3,1
44.9733249,-93.230946725125,308 Harvard St SE,5,1
44.97338793939394,-93.22107654545457,2515 University Ave SE,3,1
44.97356167346938,-93.226053,880 Washington Ave SE,5,1
44.97357810204082,-93.23331479591836,420 Washington Ave SE,21,4
44.9736178,-93.2238103,1 Washington Ave SE,12,3
44.97373369387755,-93.23105273469388,551 Washington Ave SE,6,1
44.973743102040814,-93.23330979591836,421 Washington Ave SE,8,2
44.97377352390003,-93.23580432404896,300 Washington Ave SE,81,17
44.9740296,-93.2272544,Washington Ave SE & Oak St SE,8,1
44.974083750000005,-93.237330168981,222 Pleasant St SE,5,1
44.97419695,-93.22908931547715,615 Washington Ave SE,66,8
44.9743296,-93.23025977189651,501 Washington Ave SE,5,1
44.97437055,-93.2362303140264,207 Pleasant St SE,11,3
44.9747718,-93.2326141,200 Union St SE,23,7
44.97481985,-93.23727340616976,128 Pleasant St SE,30,2
44.97507616111394,-93.23170897910198,115 Union St SE,3,1
44.97521905,-93.2278750132974,200 Oak St SE,8,2
44.97528315,-93.23230243524604,110 Union St SE,6,2
44.9753648,-93.2362953210992,117 Pleasant St SE,43,7
44.9753648,-93.2362953210992,Walter Library,6,1
44.9756669,-93.22995451226475,123 Harvard St SE,41,11
44.97585185,-93.23627514241733,101 Pleasant St SE,3,1
44.9758667,-93.2323641060466,100 Union St SE,3,1
44.97599594552792,-93.2275563114396,2009 University Ave SE,10,2
44.97623245,-93.2314338316814,500 Pillsbury Dr SE,5,1
44.97635227083333,-93.2284394375,1925 University Ave SE,5,1
44.9763955,-93.24779112791444,1300 2nd St S,5,1
44.9768903,-93.23763519248917,75 E River Pkwy,4,1
44.9768943,-93.2336425,Church St SE & Pillsbury Dr SE,3,1
44.9768943,-93.2336425,Church St SE/ Pillsbury Dr SE,10,1
44.97728825,-93.23399884281864,315 Pillsbury Dr SE,15,1
44.9773261,-93.22951659173285,315 19th Ave SE,3,1
44.97767465,-93.236665178909,192 Pillsbury Dr SE,8,1
44.97780325,-93.2332510255882,10 Church St Bldg,6,1
44.9779139,-93.2249936366577,2010 6th St SE,3,1
44.97796595,-93.2352802025548,27 Pleasant St SE,3,1
44.97811528571429,-93.2320596122449,326 17th Ave SE,23,6
44.978129714285714,-93.23232153061224,317 17th Ave SE,9,2
44.97821643208198,-93.22987609264294,1815 4th St SE,5,1
44.97827965,-93.23449039870243,9 Pleasant St SE,12,4
44.97869534693877,-93.26121116326532,505 Washington Ave S,4,1
44.9788868,-93.23275168926996,326 16th Ave SE,5,1
44.9789136,-93.237080162113,159 Pillsbury Dr SE,5,1
44.97925975510204,-93.23249775510205,1625 4th St SE,16,2
44.97956055,-93.23519859423524,319 15th Ave SE,3,1
44.97956395,-93.22815721543724,1811 5th St SE,5,1
44.980239350000005,-93.24093116836116,21 11th Ave SE,5,1
44.9808035,-93.2399556,Sanford Hall,4,1
44.981618,-93.2326031,516 15th Ave SE,8,2
44.98350395,-93.2324963037343,701 15th Ave SE,45,7
44.9835998,-93.23947675,1039 5th St SE,6,2
44.987996,-93.236118,1100 Como Ave SE,8,1
44.988123,-93.212761,1001 29th Ave SE,5,1
44.9889784,-93.2148021,1024 27th Ave SE,8,2
44.9892323,-93.2512213,2001 6th St SE,6,2
44.9892323,-93.2512213,2231 6th St SE,11,3
44.98931603030303,-93.21505821212122,1004 27th Ave SE,3,1
44.98941087878788,-93.21505615151516,1012 27th Ave SE,3,1
44.98956685714286,-93.21252397619048,1025 29th Ave SE,3,1
44.98960057575758,-93.21505203030304,1028 27th Ave SE,6,2
44.98964114285714,-93.21252335714286,1051 29th Ave SE,3,1
44.98993407317073,-93.21504668292684,1038 27th Ave SE,6,2
44.99014347560976,-93.2150449390244,1060 27th Ave SE,3,1
44.990200585365855,-93.21504446341464,1066 27th Ave SE,8,2
44.99023865853658,-93.21504414634148,1070 27th Ave SE,3,1
44.99024265,-93.2116766,2901 Talmage Ave SE,3,1
45.016700163265305,-93.2444004489796,1068 27th Ave,3,1
45.0341965,-93.2759944,2025 E River Rd,3,1
45.0355816,-93.2307516,1536 Cleveland Ave N,5,1
